Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML
Felis_catus,CUR,65.91,96.17,14.01,107.8,66.42,30.65,66.42,41.15,6.048,6.372,23.26,16.26,108,27.03,17.3,68.46,10.27,23.07,10.14
Panthera_tigris,CUR,192.86,282.72,62.05,306.34,188.26,123.29,188.26,144.5,18.25,24.07,73.2,65.53,251.12,45.41,61.36,269.45,65.75,85.35,33.74
Leopardus_pardalis,QC,79.31,124.8,17.39,130.1,45.32,45.76,45.32,42.97,7.988,10.06,28.31,24.26,116.2,14.89,22.21,112.9,12.63,30.66,16.24
Nandinia_binotata,QC,38.96,71.05,13.02,49.16,23.02,17.92,23.02,18.51,3.546,3.942,14.27,9.309,40.12,9.642,10.24,49.51,4.864,16.68,7.452
Viverra_zibetha,CUR,72.35,139.3,18.99,115.4,43.72,44.05,43.72,39.72,8.758,10.05,24.82,21.21,98.59,16.15,24.54,92.37,11.36,25.91,8.704
Cryptoprocta_ferox,QC,78.64,118.8,20.4,107.2,42.74,40.2,42.74,46.49,6.055,6.402,26.02,18.96,87.92,23.2,15.91,81.51,11.15,40.47,15.55
Mungotictis_decemlineata,CUR,34.09,61.76,10.43,49.6,17.45,18.17,17.45,11.93,2.853,1.879,7.995,6.69,50.82,11.3,8.057,40.71,3.823,8.105,6.075
Mephitis_mephitis,CUR,45.99,76.72,12.73,59.22,33.91,21.76,25.56,20,4.925,4.916,17.67,11.73,49.78,13.94,11.1,45.71,6.04,16.39,12.18
Bassariscus_astutus,QC,42,75.69,14.72,56.56,19.69,16.38,27.77,19.69,2.17,1.74,10.84,7.38,47.6,9.68,7.94,42.7,4.26,11.75,4.86
Enhydra_lutris,HP,97.08,114.76,37.15,112.11,75.98,57.3,75.98,50.76,10.43,6.87,34.79,24.45,93.96,27.89,10.31,63.13,11.69,31.13,7.33
Ursus_maritimus,FP,184.11,338.22,58.63,338,222.18,133.94,222.18,192.85,24.12,23.56,101.21,47.44,287.85,45.53,79.16,265.8,94.2,105.69,45.77
Mustela_frenata,QC,24.74,45.27,7.1,29.49,9.52,8.7,9.52,7.83,1.34,1.43,6.87,4.58,22.22,3.13,3.27,29.44,3.66,10.32,6.13
Cabassous_chacoensis,SD,37.48,67.76,16.95,44.66,30.2,19.75,28.16,23.95,6.674,6.339,22.02,16.9,26.65,9.724,11.64,44.95,9.072,24.03,22.5
Chlamyphorus_truncatus,SD,25.3,35.66,7.174,18.41,12.69,7.233,12.16,9.845,3.31,3.068,11.21,10.93,10.52,3.107,5.503,21.25,4.288,12.07,11.47
Euphractus_sexcinctus,SD,41.17,70.92,14.25,40.88,18.25,10.38,18.25,16.72,6.118,6.54,15.92,13.45,28.64,9.111,12.33,37.13,6.921,15.11,15.18
Bradypus_tridactylus,QS,46.83,73.45,13.92,173.71,91.05,59.69,91.05,91.05,4.59,3.01,28.86,7.55,153.19,22.75,27.52,141.37,11.21,21.38,67.67
Choloepus_hoffmanni,QS,66.68,113.31,17.24,138.74,65.96,59.23,65.96,57.19,7.78,4,41.14,12.63,153.25,16.21,35.82,131.82,12.22,15.53,36.52
Choloepus_didactylus,QS,52.29,91.34,15.91,107,51.38,32.51,51.38,51.38,5.631,6.211,25.48,7.464,100.2,12.01,24.8,115.8,19.05,13.24,41.51
Gorilla_gorilla,CUR,137.22,249.51,95.75,376,190.24,134.09,190.24,159.1,12.54,17.48,82.51,18.68,297.48,64.24,49.43,247.78,49.43,73.04,20.4
Ateles_belzebuth,BRA,114.8,219.2,55.24,490.2,100.8,53.73,100.8,77.51,12.26,12.66,51.8,23.09,337,58.85,44.4,266.7,22.09,59.41,21.17
Macaca_mulatta,QC,91.19,127.9,27.27,159.1,65.5,38.61,65.5,51.65,6.575,8.285,29.85,20.61,153.3,21.43,18.59,113.1,10.27,31.46,9.492
Papio_papio,CUR,219.6,338.5,81.88,662.3,274.5,182.9,274.5,229.2,21.38,22.74,66.91,40.96,599.5,87.04,95.14,292.9,39.31,65.28,29.31
Galago_moholi,QC,29.09,40.66,9.259,30.36,11.21,11.53,9.847,10.21,2.67,2.588,8.315,4.561,32.83,6.017,4.911,27.32,1.875,11.02,2.107
Galago_senegalensis,QC,30.83,44.25,10.21,31.43,11.62,11.38,8.546,11.31,1.846,1.982,8.289,4.912,34.68,5.209,6.721,30.43,2.237,12.7,2.469
Symphalangus_syndactylus,BRA,62.45,98.46,29.46,171.8,38.47,21.56,38.47,26.44,6.254,10.77,24.11,5.81,174.2,23.44,18.69,129.9,19.18,28.45,8.077
Lemur_catta,QC,46.13,73.88,12.28,81.02,26.59,23.89,26.59,18.34,4.139,3.789,17.29,11.18,88.19,13.41,9.79,60.17,12.7,18.29,3.92
Pan_troglodytes,QC,133.66,214.38,50.58,303.13,164.22,113.88,164.22,132.79,14.21,20.59,70.72,25.46,306.62,53.68,58.73,276.13,49.16,79.74,33.46
Chrysochloris_stuhlmanni,SD,15.62,22.83,5.342,10.65,6.801,12.23,6.801,7.519,1.383,1.036,9.151,4.234,8.941,11.6610791,2.881,9.134,2.187,3.815,6.075
Chrysochloris_asiatica,SD,18.55,22.2,5.83,12.49,7.872,14.6,7.872,8.873,1.471,0.8857,9.846,6.303,10.28,11.6610791,4.03,9.407,3.059,4.012,8.054
Amblysomus_hottentotus,SD,16.33,24.99,9.484,13.06,8.643,16.1,8.643,9.751,2.203,1.067,11.72,6.969,10.64,11.6610791,3.642,12.45,2.952,4.98,10.06
